AirQualityStation,Countrycode,Latitude,Longitude,no2,o3,pm10,traffic,industrial,background,rural,suburban,urban,nox_traffic,nox_industrial,nox_urban,nox_port_shipping,nox_other,nox_total,nox_share_traffic,nox_share_industrial,nox_share_urban,nox_share_port_shipping,nox_share_other,nox_dom_modeled,nox_dom_modeled_sh,nox_dom_all,nox_nonmodeled_dominant,nox_present_traffic,nox_present_industrial,nox_present_urban,nox_present_port_shipping,pm10_traffic,pm10_industrial,pm10_urban,pm10_port_shipping,pm10_other,pm10_total,pm10_share_traffic,pm10_share_industrial,pm10_share_urban,pm10_share_port_shipping,pm10_share_other,pm10_dom_modeled,pm10_dom_modeled_sh,pm10_dom_all,pm10_nonmodeled_dominant,pm10_present_traffic,pm10_present_industrial,pm10_present_urban,pm10_present_port_shipping
STA.06.178,AT,47.2157,15.62839,21.23185202,51.08034664,20.97159501,0,0,1,0,1,0,1.7720778e-05,0.0,9.262779e-06,0.0,3.9318884e-06,3.0915446e-05,0.5732015,0.0,0.29961655,0.0,0.127182,traffic,0.5732015,traffic,False,True,False,True,False,1.7844231e-06,0.0,2.082822e-05,0.0,4.1726244e-06,2.6785268e-05,0.066619575,0.0,0.7775998,0.0,0.15578057,urban,0.7775998,urban,False,True,False,True,False
STA-HU0029A,HU,46.08028,18.21112,19.53020242,43.11311044,22.1086351,0,0,1,0,1,0,5.9536873e-05,0.0002923179,7.520195e-05,0.0,2.6369726e-05,0.00045342647,0.13130435,0.64468646,0.16585258,0.0,0.058156565,industrial,0.64468646,industrial,False,True,True,True,False,7.982656e-06,0.00012219213,4.667901e-05,0.0,8.873542e-06,0.00018572733,0.042980514,0.6579114,0.25133088,0.0,0.047777258,industrial,0.6579114,industrial,False,True,True,True,False
STA_ES0094A,ES,43.4054,-7.9886,3.100865902,74.89414651,8.741527888,0,1,0,1,0,0,1.0290444e-05,7.723722e-06,1.2397112e-06,0.0,2.947494e-06,2.2201371e-05,0.46350488,0.3478939,0.055839397,0.0,0.1327618,traffic,0.46350488,traffic,False,True,True,True,False,1.0868838e-06,8.330329e-06,2.00193e-06,0.0,2.4468259e-06,1.386597e-05,0.07838498,0.6007751,0.1443772,0.0,0.17646265,industrial,0.6007751,industrial,False,True,True,True,False
STA.DE_DEHE135,DE,50.07546,8.57631,23.95049504,49.48303662,16.88742943,0,0,1,0,0,1,7.790345e-05,0.00061069895,4.4858654e-05,6.1582025e-05,2.1214943e-05,0.00081625796,0.09543975,0.74816906,0.054956466,0.07544432,0.025990488,industrial,0.74816906,industrial,False,True,True,True,True,7.4170384e-06,0.00013048986,1.1968685e-05,3.080201e-06,8.6002365e-06,0.00016155602,0.045910012,0.8077066,0.074083805,0.019065838,0.053233773,industrial,0.8077066,industrial,False,True,True,True,True
STA-FR12020,FR,43.6287,0.17907,1.119604573,68.93849842,10.34598897,0,0,1,1,0,0,1.2909686e-06,0.0,8.1752245e-07,0.0,2.3835933e-06,4.492084e-06,0.28738746,0.0,0.1819918,0.0,0.5306208,traffic,0.28738746,other,True,True,False,True,False,1.3471333e-07,0.0,4.584539e-06,0.0,3.5751389e-06,8.294391e-06,0.016241498,0.0,0.55272764,0.0,0.43103093,urban,0.55272764,urban,False,True,False,True,False
STA.IT2202A,IT,40.28839,15.89143,3.173368146,86.00849567,17.67878873,0,1,0,0,1,0,6.1129654e-06,0.0,3.0760548e-06,0.0,2.5760014e-06,1.1765021e-05,0.5195882,0.0,0.26145765,0.0,0.21895427,traffic,0.5195882,traffic,False,True,False,True,False,7.579717e-07,0.0,7.689681e-06,0.0,3.3188014e-06,1.1766454e-05,0.064418025,0.0,0.6535258,0.0,0.2820562,urban,0.6535258,urban,False,True,False,True,False
STA.DE_DERP013,DE,49.42312,7.29354,7.384704826,68.0604674,13.75155291,0,0,1,1,0,0,1.6640872e-05,0.0,5.0291465e-06,0.0,2.043273e-06,2.3713292e-05,0.7017529,0.0,0.21208133,0.0,0.086165726,traffic,0.7017529,traffic,False,True,False,True,False,1.801769e-06,0.0,8.272237e-06,0.0,3.481116e-06,1.3555121e-05,0.13292165,0.0,0.61026657,0.0,0.2568119,urban,0.61026657,urban,False,True,False,True,False
STA.IT1464A,IT,45.4975,9.55639,30.81433367,49.45122405,31.53091788,0,0,1,1,0,0,7.702044e-05,1.8856435e-06,1.7407214e-05,6.514373e-08,4.097957e-06,0.00010047641,0.76655245,0.018767027,0.17324677,0.0006483485,0.040785264,traffic,0.76655245,traffic,False,True,True,True,True,9.27294e-06,1.2185582e-05,5.9571e-05,5.5706484e-09,1.1572818e-05,9.2607916e-05,0.10013118,0.13158251,0.64326036,6.015305e-05,0.12496576,urban,0.64326036,urban,False,True,True,True,True
STA.IT1451A,IT,44.66222,11.63944,21.9483066,55.98375451,26.43006993,0,0,1,1,0,0,8.874647e-06,0.0,6.9256457e-06,1.5473312e-07,6.0807033e-06,2.203573e-05,0.40273896,0.0,0.31429163,0.007021919,0.27594742,traffic,0.40273896,traffic,False,True,False,True,True,1.0784603e-06,0.0,1.7621227e-05,1.3231723e-08,5.988304e-06,2.4701221e-05,0.0436602,0.0,0.71337473,0.0005356708,0.24242948,urban,0.71337473,urban,False,True,False,True,True
STA-RO0112A,RO,47.73992,26.65852,29.39167522,44.87333252,32.31591666,0,0,1,0,0,1,5.7731533e-05,4.8698814e-05,2.0905854e-05,0.0,1.3840128e-05,0.00014117634,0.4089321,0.34495026,0.14808327,0.0,0.09803434,traffic,0.4089321,traffic,False,True,True,True,False,6.0096045e-06,6.175416e-05,8.846218e-05,0.0,1.4939842e-05,0.0001711658,0.035109844,0.36078563,0.51682156,0.0,0.08728287,urban,0.51682156,urban,False,True,True,True,False
