run,sample_id,pollutant,source_category,signed_shap_sum,positive_shap_sum,abs_shap_sum,source_rank_abs,source_rank_positive
2,2370,o3,traffic,0.558510467475731,0.558510467475731,0.558510467475731,2,2
2,2370,o3,urban_anthropogenic,0.13937585305777836,0.13937585305777836,0.13937585305777836,4,4
2,2421,o3,geographic_context,1.4339176585140108,1.4339176585140108,1.4339176585140108,1,1
2,2421,o3,industrial,0.40307095049495434,0.40307095049495434,0.40307095049495434,2,2
2,2421,o3,meteorological_condition,0.17476724124074947,0.17476724124074947,0.17476724124074947,3,3
2,2421,o3,port_shipping,0.008031088859598573,0.011491588093521405,0.014952087327444234,6,6
2,2421,o3,traffic,-0.02398146071808993,0.015331682360084298,0.054644825438258535,5,5
2,2421,o3,urban_anthropogenic,0.1560854406000319,0.1560854406000319,0.1560854406000319,4,4
2,2463,o3,geographic_context,0.4289372440643054,0.5254195824981166,0.6219019209319279,1,2
2,2463,o3,industrial,0.2778432801637796,0.2778432801637796,0.2778432801637796,3,3
2,2463,o3,meteorological_condition,0.5288898808910119,0.528889880891012,0.528889880891012,2,1
2,2463,o3,port_shipping,0.0204525616856962,0.026999514725307622,0.03354646776491905,6,4
2,2463,o3,traffic,-0.02839009377960189,0.024779722504565966,0.07794953878873383,4,5
2,2463,o3,urban_anthropogenic,-0.03168716107024058,0.007980544486386168,0.047648250043012916,5,6
2,2490,o3,geographic_context,0.6051051415901021,0.6381225737605682,0.6711400059310342,1,1
2,2490,o3,industrial,0.30803937864700126,0.30803937864700126,0.30803937864700126,3,3
2,2490,o3,meteorological_condition,0.5299164167273988,0.5299164167273988,0.5299164167273988,2,2
2,2490,o3,port_shipping,0.011610543477040934,0.015614848354238195,0.019619153231435458,6,6
2,2490,o3,traffic,0.16652867709483143,0.1665286770948314,0.1665286770948314,4,4
2,2490,o3,urban_anthropogenic,0.02051660351639519,0.04728993767530987,0.07406327183422454,5,5
2,2536,o3,geographic_context,1.5531452708604134,1.5706382064307693,1.5881311420011253,1,1
2,2536,o3,industrial,0.44354176150462155,0.44354176150462155,0.44354176150462155,3,3
2,2536,o3,meteorological_condition,-0.17722095163458965,0.01400246682742274,0.2052258852894351,5,5
2,2536,o3,port_shipping,0.008842175874657862,0.010376698596465013,0.011911221318272163,6,6
2,2536,o3,traffic,0.6376590936501977,0.6376590936501977,0.6376590936501977,2,2
2,2536,o3,urban_anthropogenic,0.26091644982705575,0.26091644982705575,0.26091644982705575,4,4
2,2576,o3,geographic_context,0.4643412827216982,0.47152665240427977,0.4787120220868613,1,1
2,2576,o3,industrial,0.18187627947595758,0.18187627947595758,0.18187627947595758,4,3
2,2576,o3,meteorological_condition,-0.048412542878421096,0.09836108579932237,0.24513471447706583,3,5
2,2576,o3,port_shipping,0.01245049803922404,0.012707499770195366,0.012964501501166693,6,6
2,2576,o3,traffic,0.44246571086648534,0.44246571086648534,0.44246571086648534,2,2
2,2576,o3,urban_anthropogenic,0.1667466622522643,0.16674666225226428,0.16674666225226428,5,4
2,2722,o3,geographic_context,0.6211038039018667,0.6211038039018667,0.6211038039018667,1,1
2,2722,o3,industrial,0.23211229915779708,0.23211229915779708,0.23211229915779708,4,4
2,2722,o3,meteorological_condition,0.2631727133599119,0.2631727133599118,0.2631727133599118,3,3
2,2722,o3,port_shipping,0.004458126425857687,0.01042084949720981,0.016383572568561933,6,6
2,2722,o3,traffic,0.4218790727300054,0.4218790727300054,0.4218790727300054,2,2
2,2722,o3,urban_anthropogenic,0.0764784689940182,0.0969089156190224,0.11733936224402662,5,5
2,2853,o3,geographic_context,0.6130047569681081,0.6130047569681081,0.6130047569681081,1,1
2,2853,o3,industrial,-0.0003711591191982305,0.04620703246963184,0.09278522405846192,5,3
2,2853,o3,meteorological_condition,0.29993720149319225,0.29993720149319225,0.29993720149319225,2,2
2,2853,o3,port_shipping,0.00981689253555043,0.014157460867251915,0.0184980291989534,6,6
2,2853,o3,traffic,-0.07847899176411492,0.022292283770749613,0.12306355930561415,3,5
2,2853,o3,urban_anthropogenic,-0.027209529191830874,0.0355059222472208,0.09822137368627248,4,4
2,2953,o3,geographic_context,1.505955011487719,1.5059550114877192,1.5059550114877192,1,1
2,2953,o3,industrial,0.36334570014051293,0.36334570014051293,0.36334570014051293,3,3
2,2953,o3,meteorological_condition,-0.07704079658335469,0.01938845723679556,0.11581771105694581,5,5
2,2953,o3,port_shipping,0.009035760552084346,0.010634068249944771,0.012232375947805197,6,6
2,2953,o3,traffic,0.5718424428609272,0.5718424428609272,0.5718424428609272,2,2
2,2953,o3,urban_anthropogenic,0.22989905698961058,0.22989905698961055,0.22989905698961055,4,4
2,2997,o3,geographic_context,1.059143552936639,1.0946118715765027,1.1300801902163664,1,1
2,2997,o3,industrial,0.3457968822231069,0.3457968822231069,0.3457968822231069,3,3
2,2997,o3,meteorological_condition,0.5850917448275594,0.5850917448275594,0.5850917448275594,2,2
2,2997,o3,port_shipping,0.013971671840972607,0.015940666377371692,0.017909660913770775,6,6
2,2997,o3,traffic,0.04840561332027421,0.058845212649821635,0.06928481197936906,5,5
2,2997,o3,urban_anthropogenic,0.027706385543303874,0.06183575575303281,0.09596512596276174,4,4
2,154,pm10,geographic_context,2.58722165234431,2.58722165234431,2.58722165234431,1,1
2,154,pm10,industrial,0.05936126829737984,0.05936126829737984,0.05936126829737984,6,5
2,154,pm10,meteorological_condition,-0.10188378993468178,0.09954936365971331,0.3009825172541084,2,3
2,154,pm10,port_shipping,0.07518169299320897,0.08082331703658137,0.08646494107995377,5,4
2,154,pm10,traffic,0.18628348096277264,0.19986328947149032,0.213443097980208,3,2
2,154,pm10,urban_anthropogenic,-0.10105295233009895,0.04469691620572519,0.19044678474154933,4,6
2,297,pm10,geographic_context,1.2412226677983633,1.3512649003822756,1.4613071329661882,1,1
2,297,pm10,industrial,0.024682773634115265,0.033639895060790966,0.042597016487466666,6,5
2,297,pm10,meteorological_condition,0.21279010120222103,0.22383925386958556,0.23488840653695006,2,2
2,297,pm10,port_shipping,0.04867189769076425,0.05122594430036427,0.05377999090996429,5,4
2,297,pm10,traffic,0.07691118703327314,0.08665847362273421,0.09640576021219528,3,3
2,297,pm10,urban_anthropogenic,0.0009849382252968414,0.029655697576408,0.05832645692751916,4,6
2,398,pm10,geographic_context,0.3013420188471989,0.32340894867962205,0.34547587851204525,2,2
2,398,pm10,industrial,0.012018715510829461,0.019416131532448977,0.026813547554068493,4,5
2,398,pm10,meteorological_condition,0.6265234918549714,0.6314465941167423,0.6363696963785133,1,1
2,398,pm10,port_shipping,0.01827294042324656,0.021341865623489945,0.02441079082373333,5,4
2,398,pm10,traffic,0.00030822829291768643,0.006984279585888046,0.013660330878858404,6,6
2,398,pm10,urban_anthropogenic,0.06401026856939944,0.08581727875027753,0.10762428893115561,3,3
2,405,pm10,geographic_context,0.7717762497664589,0.7717762497664589,0.7717762497664589,1,1
2,405,pm10,industrial,0.026282596182470738,0.03178105379786038,0.03727951141325002,6,5
2,405,pm10,meteorological_condition,0.14436159927066336,0.2126114177164582,0.280861236162253,2,2
2,405,pm10,port_shipping,0.03831211229766467,0.04057304835687115,0.04283398441607763,5,4
2,405,pm10,traffic,-0.05606884408846334,0.0,0.05606884408846334,4,6
2,405,pm10,urban_anthropogenic,0.06884645679006307,0.09437389867291407,0.11990134055576505,3,3
2,449,pm10,geographic_context,0.4593561324739506,0.46876626603126764,0.47817639958858477,1,1
2,449,pm10,industrial,0.003687641039307507,0.008324567151722988,0.01296149326413847,6,6
2,449,pm10,meteorological_condition,0.15353987560259033,0.2662311060585513,0.37892233651451235,2,2
2,449,pm10,port_shipping,0.016251204241491898,0.02239226794432845,0.028533331647165,5,5
2,449,pm10,traffic,0.09037173341507905,0.10140896881155417,0.1124462042080293,4,4
2,449,pm10,urban_anthropogenic,0.07785795052131768,0.11085134693270302,0.14384474334408834,3,3
2,494,pm10,geographic_context,0.32300256569290453,0.3370092830995838,0.351016000506263,2,2
2,494,pm10,industrial,0.05334978825010301,0.05481683897737697,0.05628388970465093,4,4
2,494,pm10,meteorological_condition,0.6309699500800141,0.6309699500800141,0.6309699500800141,1,1
2,494,pm10,port_shipping,0.023539841922199826,0.02633328272688831,0.029126723531576793,6,5
2,494,pm10,traffic,0.019067768931243775,0.025079516556916877,0.031091264182589978,5,6
2,494,pm10,urban_anthropogenic,0.11254209107737444,0.11254209107737444,0.11254209107737444,3,3
2,568,pm10,geographic_context,0.36288960090042627,0.5305261040436697,0.6981626071869131,1,2
2,568,pm10,industrial,-0.03488371691766673,0.0,0.03488371691766673,5,5
2,568,pm10,meteorological_condition,0.6389135073237413,0.6389135073237413,0.6389135073237413,2,1
2,568,pm10,port_shipping,0.020505277460330533,0.024075482428634193,0.027645687396937853,6,4
2,568,pm10,traffic,-0.0672187894070637,0.0,0.0672187894070637,4,6
2,568,pm10,urban_anthropogenic,0.1264360483113756,0.13731069637988627,0.14818534444839696,3,3
2,657,pm10,geographic_context,1.1225411571648185,1.2248727591797604,1.3272043611947022,1,1
2,657,pm10,industrial,-0.01396754328117172,0.010988945841066612,0.03594543496330495,6,6
2,657,pm10,meteorological_condition,0.14085897646015988,0.2206055469229825,0.30035211738580514,2,2
2,657,pm10,port_shipping,0.05400214386006458,0.058578443060266376,0.06315474226046817,5,3
2,657,pm10,traffic,0.014175612491654612,0.03928885988878989,0.06440210728592517,4,5
2,657,pm10,urban_anthropogenic,-0.0013227966658384653,0.046457511617085695,0.09423781990000986,3,4
2,836,pm10,geographic_context,2.7067261899661657,2.779512080299004,2.8522979706318417,1,1
2,836,pm10,industrial,-0.05608005084917545,0.0020131215488173376,0.06010629394681013,6,6
2,836,pm10,meteorological_condition,0.6431232560578471,0.6431232560578473,0.6431232560578473,2,2
2,836,pm10,port_shipping,0.0763805654223766,0.07845524000715165,0.0805299145919267,5,5
2,836,pm10,traffic,0.22924374005899145,0.23271954018439311,0.23619534030979478,3,3
2,836,pm10,urban_anthropogenic,0.024948004861624733,0.11033537117095465,0.19572273748028457,4,4
2,1098,pm10,geographic_context,0.6568655285558351,0.6590391356988403,0.6612127428418456,1,1
2,1098,pm10,industrial,0.05001498603514245,0.05267376707760964,0.05533254812007683,5,4
2,1098,pm10,meteorological_condition,0.3900111740972566,0.399607056486557,0.4092029388758573,2,2
2,1098,pm10,port_shipping,-0.07386176119068638,0.0,0.07386176119068638,3,5
2,1098,pm10,traffic,-0.044402269418159085,0.0,0.044402269418159085,6,6
2,1098,pm10,urban_anthropogenic,0.05860939629138028,0.05860939629138028,0.05860939629138028,4,3
2,1146,pm10,geographic_context,1.1681456644966328,1.2835489645822147,1.3989522646677968,1,1
2,1146,pm10,industrial,0.061217193181731154,0.0622806971311275,0.06334420108052385,6,6
2,1146,pm10,meteorological_condition,0.1415256753443959,0.1902811913758347,0.23903670740727354,2,2
2,1146,pm10,port_shipping,0.0598701979900219,0.06416942898688238,0.06846865998374287,5,4
2,1146,pm10,traffic,0.053127044529538085,0.0628610451897236,0.07259504584990911,4,5
2,1146,pm10,urban_anthropogenic,0.05308384987110494,0.11148742183492606,0.16989099379874717,3,3
2,1152,pm10,geographic_context,1.3503009106405988,1.4408121934316573,1.531323476222716,1,1
2,1152,pm10,industrial,3.3497571071473484e-05,0.009096143804345369,0.018158790037619263,6,6
2,1152,pm10,meteorological_condition,0.21632418795953354,0.25074460747691196,0.28516502699429036,2,2
2,1152,pm10,port_shipping,0.06312210981311182,0.06667405454301988,0.07022599927292793,5,5
2,1152,pm10,traffic,0.07058614188539009,0.08248210772290428,0.09437807356041847,4,4
2,1152,pm10,urban_anthropogenic,0.1584769746146385,0.17121313736531188,0.18394930011598526,3,3
2,1179,pm10,geographic_context,0.43945216205992277,0.4394521620599227,0.4394521620599227,1,1
2,1179,pm10,industrial,0.04439442283790462,0.04543556387050211,0.04647670490309961,6,5
2,1179,pm10,meteorological_condition,0.3989931188364918,0.40107957505282843,0.40316603126916506,2,2
2,1179,pm10,port_shipping,0.0012052919427334025,0.025127294736283563,0.049049297529833724,5,6
2,1179,pm10,traffic,0.09821919345468438,0.11273050785559037,0.12724182225649636,4,4
2,1179,pm10,urban_anthropogenic,0.18587111667552791,0.20901420488366376,0.2321572930917996,3,3
2,1314,pm10,geographic_context,1.1758470896652402,1.2892967055860687,1.402746321506897,1,1
2,1314,pm10,industrial,0.09621752272059386,0.09670230251982075,0.09718708231904763,5,4
2,1314,pm10,meteorological_condition,0.06975626091436636,0.1371977043410959,0.20463914776782544,3,3
2,1314,pm10,port_shipping,0.07264862409937424,0.07698572453136356,0.08132282496335286,6,6
2,1314,pm10,traffic,0.07414088186607944,0.08643302791515116,0.09872517396422288,4,5
2,1314,pm10,urban_anthropogenic,0.17907720696713542,0.1932715713083399,0.2074659356495444,2,2
2,1388,pm10,geographic_context,0.5802696956164166,0.827716407314065,1.0751631190117132,1,1
2,1388,pm10,industrial,0.0010979696111487539,0.01387460064043067,0.026651231669712585,6,6
2,1388,pm10,meteorological_condition,0.036385994819360355,0.11765188764086504,0.19891778046236971,3,3
2,1388,pm10,port_shipping,0.04827032730446106,0.05058172100307639,0.05289311470169172,5,5
2,1388,pm10,traffic,0.1798255274394632,0.19758027907298187,0.21533503070650056,2,2
2,1388,pm10,urban_anthropogenic,-0.008525903838815517,0.05846201571126598,0.12544993526134748,4,4
2,1439,pm10,geographic_context,2.641059866446136,2.641059866446136,2.641059866446136,1,1
2,1439,pm10,industrial,0.025241909908280395,0.02816608550309006,0.03109026109789972,6,5
2,1439,pm10,meteorological_condition,0.2073750807226104,0.22756571911107223,0.24775635749953406,3,3
2,1439,pm10,port_shipping,-0.21043276082832085,0.013257121554789836,0.23694700393790052,4,6
2,1439,pm10,traffic,0.16049231666912755,0.17268859218591587,0.18488486770270418,5,4
2,1439,pm10,urban_anthropogenic,0.2089560916293475,0.2574532065027756,0.3059503213762037,2,2
2,1440,pm10,geographic_context,2.1689132171824665,2.2229240030539548,2.276934788925443,1,1
2,1440,pm10,industrial,0.07042647380353084,0.07170060942645237,0.07297474504937392,6,4
2,1440,pm10,meteorological_condition,-0.11781652380601434,0.02537674125442775,0.16857000631486985,4,5
2,1440,pm10,port_shipping,-0.2580206144273415,0.0,0.2580206144273415,2,6
2,1440,pm10,traffic,0.050813093739619744,0.09505244908931494,0.13929180443901013,5,3
2,1440,pm10,urban_anthropogenic,0.10118507311708018,0.16310371927813086,0.22502236543918155,3,2
2,1664,pm10,geographic_context,2.543512981567946,2.543512981567946,2.543512981567946,1,1
2,1664,pm10,industrial,-0.012524572526461188,0.0031586072101749884,0.018841786946811163,6,6
2,1664,pm10,meteorological_condition,0.21849842512084575,0.23664277222989016,0.2547871193389346,5,4
