run,sample_id,pollutant,feature_name,feature_value_raw,feature_value_norm,shap_value,abs_shap,shap_rank_abs,shap_sign,source_category
4,2814,pm10,num_buildings_500m,595.0,-0.06495324074750351,-0.016183188526118112,0.016183188526118112,19,negative,urban_anthropogenic
4,2814,pm10,num_factory_1km,0.0,-0.1735841355973231,0.008832549362262082,0.008832549362262082,20,positive,industrial
4,2814,pm10,ship_density_1km,0.0,-0.14022768049856174,-0.008100596087769538,0.008100596087769538,21,negative,port_shipping
4,2814,pm10,rural,0.0,-0.5536674263920707,0.0071264146401084725,0.0071264146401084725,22,positive,geographic_context
4,2814,pm10,num_factory_500m,0.0,-0.13406790694875997,0.0,0.0,23,zero,industrial
4,2909,pm10,Altitude,36.0,-0.7975848592058461,0.3517495437766404,0.3517495437766404,1,positive,geographic_context
4,2909,pm10,Wind_3yr,1.448266423357664,-1.086502186771349,0.2549898477712052,0.2549898477712052,2,positive,meteorological_condition
4,2909,pm10,Stability_3yr,0.6238503649635037,0.6238503649635037,0.20407691908640693,0.20407691908640693,3,positive,meteorological_condition
4,2909,pm10,RH_3yr,72.32361313868613,-0.6564700045775433,0.12412267180222648,0.12412267180222648,4,positive,meteorological_condition
4,2909,pm10,num_roads_1km,913.0,0.6339468973533782,0.09561215156586093,0.09561215156586093,5,positive,traffic
4,2909,pm10,PopulationDensity,317.2,-0.15721635080138582,0.07055760693706703,0.07055760693706703,6,positive,urban_anthropogenic
4,2909,pm10,Latitude,45.56056,-0.061291634383928886,-0.060728603075374275,0.060728603075374275,7,negative,geographic_context
4,2909,pm10,num_buildings_500m,2381.0,2.403828284066738,-0.04460211180918527,0.04460211180918527,8,negative,urban_anthropogenic
4,2909,pm10,num_industrial_landuse_1km,0.0,-0.4694542199910783,-0.044453982482489496,0.044453982482489496,9,negative,industrial
4,2909,pm10,Temp_3yr,13.841925182481752,0.4743096511060298,0.03695751368315321,0.03695751368315321,10,positive,meteorological_condition
4,2909,pm10,num_buildings_1km,5575.0,1.4653983097738916,-0.036805287325119444,0.036805287325119444,11,negative,urban_anthropogenic
4,2909,pm10,Longitude,11.53972,0.262565052326962,0.030630909578049148,0.030630909578049148,12,positive,geographic_context
4,2909,pm10,urban,1.0,0.9693384774922439,0.01943113651796401,0.01943113651796401,13,positive,urban_anthropogenic
4,2909,pm10,traffic,0.0,-0.3281059132780248,-0.017610286659721752,0.017610286659721752,14,negative,traffic
4,2909,pm10,ship_density_5km,0.0,-0.332199815255663,0.01756815219878381,0.01756815219878381,15,positive,port_shipping
4,2909,pm10,ship_density_10km,0.0,-0.3187453966742202,0.01181113587103118,0.01181113587103118,16,positive,port_shipping
4,2909,pm10,rural,0.0,-0.5536674263920707,0.009154907347742538,0.009154907347742538,17,positive,geographic_context
4,2909,pm10,num_roads_500m,319.0,0.9969673409848834,0.008216288027965138,0.008216288027965138,18,positive,traffic
4,2909,pm10,Precip_3yr,2.464689781021898,0.5277191602072431,0.007811564762513097,0.007811564762513097,19,positive,meteorological_condition
4,2909,pm10,num_factory_1km,0.0,-0.1735841355973231,0.007600318302945679,0.007600318302945679,20,positive,industrial
4,2909,pm10,ship_density_1km,0.0,-0.14022768049856174,-0.0062565380429837674,0.0062565380429837674,21,negative,port_shipping
